adjacent_exact_or_range,authoritative_realized_pnl_sum,bucket_count,buckets,buy_usd,cashflow_pnl_before_resolution,city,closed_yes_asset_count,has_transform_events,max_entry_state_payout,max_entry_state_pnl,max_remaining_state_payout,min_entry_state_payout,min_entry_state_pnl,min_remaining_state_payout,net_cost_after_pre_resolution_sells,open_or_unresolved_yes_asset_count,sell_usd,state_model_note,state_model_valid,unequal_share_ratio_entry,unit,weather_date,weather_metric,winner_bucket_labels,winner_in_visible_yes_basket
False,-0.8699999999999999,1,9°C,1.1099999999999999,-0.8699999999999999,London,1,False,30.0,28.89,0.0,30.0,28.89,0.0,0.8699999999999999,0,0.24,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-01-25,high,,False
False,-0.8699999999999999,1,between 18-19°F,0.87,-0.87,New York City,1,False,290.0,289.13,290.0,290.0,289.13,290.0,0.87,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-01-25,high,,False
False,-0.7,1,between 46-47°F,0.7000000000000001,-0.7000000000000001,Seattle,1,False,10.0,9.3,10.0,10.0,9.3,10.0,0.7000000000000001,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-01-25,high,,False
False,1.758942,1,between 42-43°F,1.6899989999552034,-1.6899989999552034,Atlanta,1,False,3.448978,1.7589790000447965,3.448978,3.448978,1.7589790000447965,3.448978,1.6899989999552034,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-01-27,high,between 42-43°F,True
False,2.5246139999999997,2,9°C|11°C or higher,8.019614997232704,2.5232050135512942,Ankara,2,False,441.88732,433.8677050027673,0.007319999999992888,15.0,6.980385002767296,0.0,-2.5232050135512942,0,10.542820010783998,non_overlapping_yes_buckets,True,29.459154666666667,C,2026-01-31,high,,False
False,-6.570917999999999,2,9°C|11°C or higher,9.999998999440212,-6.576398999440212,London,2,False,350.0,340.0000010005598,350.0,12.689654,2.689655000559789,0.009654000000001162,6.576398999440212,0,3.4236,non_overlapping_yes_buckets,True,27.581524287423438,C,2026-01-31,high,11°C or higher,True
False,-0.990649,1,35°C,0.9999990001521372,-0.9906890001521371,Buenos Aires,1,False,9.310343,8.310343999847863,0.00034299999999909403,9.310343,8.310343999847863,0.00034299999999909403,0.9906890001521371,0,0.00931,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-01,high,,False
False,-0.999963,1,-1°C,0.9999990012759068,-0.9999990012759068,Seoul,1,False,34.482757,33.48275799872409,34.482757,34.482757,33.48275799872409,34.482757,0.9999990012759068,0,0.0,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-01,high,,False
False,1.384,1,50°F or higher,1.44,-1.216,Atlanta,1,True,6.0,4.5600000000000005,5.2,6.0,4.5600000000000005,5.2,1.216,0,0.22400000000000003,overlapping_or_single_bucket_yes_markets,False,1.0,F,2026-02-02,high,50°F or higher,True
False,-0.075,1,9°C,0.1,-0.07500000000000001,London,1,False,5.0,4.9,0.0,5.0,4.9,0.0,0.07500000000000001,0,0.025,overlapping_or_single_bucket_yes_markets,False,1.0,C,2026-02-03,high,,False
